user_id,gender,age,country,city,exp_group,os,source
200,1,34,Russia,Degtyarsk,3,Android,ads
201,0,37,Russia,Abakan,0,Android,ads
202,1,17,Russia,Smolensk,4,Android,ads
203,0,18,Russia,Moscow,1,iOS,ads
204,0,36,Russia,Anzhero-Sudzhensk,3,Android,ads
205,0,32,Russia,Dugulubgey,3,Android,ads
206,1,20,Russia,Kamenka,1,Android,ads
207,1,27,Russia,Groznyy,3,iOS,ads
208,1,17,Russia,Zima,1,Android,ads
209,0,17,Russia,Yuzhnouralsk,1,Android,ads
210,0,39,Ukraine,Mykolaiv,3,Android,ads
211,1,22,Belarus,Minsk,0,iOS,ads
212,1,47,Russia,Podolsk,0,iOS,ads
213,1,22,Ukraine,Kamianske,2,iOS,ads
214,0,21,Russia,Moscow,4,Android,ads
215,1,18,Ukraine,Horodenka,3,iOS,ads
216,0,38,Ukraine,Lviv,1,Android,ads
217,1,29,Russia,Kansk,3,iOS,ads
218,1,25,Belarus,Minsk,2,iOS,ads
219,0,36,Russia,Moscow,2,Android,ads
220,1,36,Russia,Novosibirsk,2,Android,ads
221,0,23,Russia,Vologda,3,Android,ads
222,0,45,Russia,Ulyanovsk,0,iOS,ads
223,1,19,Ukraine,Chernihiv,3,Android,ads
224,1,32,Russia,Yekaterinburg,2,iOS,ads
225,1,39,Russia,Vilyuysk,0,Android,ads
226,1,31,Russia,Moscow,4,iOS,ads
227,0,19,Russia,Saint Petersburg,2,Android,ads
228,0,17,Azerbaijan,Baku,2,iOS,ads
229,0,23,Russia,Saint Petersburg,3,iOS,ads
230,0,36,Russia,Perm,3,Android,ads
231,1,26,Russia,Barnaul,2,Android,ads
232,1,19,Russia,Moscow,4,iOS,ads
233,1,36,Russia,Kursk,2,Android,ads
234,0,18,Russia,Volgograd,2,Android,ads
235,1,23,Russia,Troitsk,0,Android,ads
236,1,31,Russia,Ufa,0,Android,ads
237,0,23,Russia,Rostov,3,Android,ads
238,1,19,Russia,Saransk,1,Android,ads
239,0,20,Russia,Yekaterinburg,0,iOS,ads
240,1,20,Belarus,Smarhon’,0,Android,ads
241,1,27,Russia,Zlatoust,3,Android,ads
242,0,47,Russia,Moscow,3,Android,ads
243,1,38,Kazakhstan,Ekibastuz,1,iOS,ads
244,0,44,Russia,Krasnoyarsk,3,Android,ads
245,1,25,Russia,Moscow,2,iOS,ads
246,1,18,Russia,Volgograd,1,Android,ads
247,1,52,Russia,Saint Petersburg,2,iOS,ads
248,1,22,Russia,Nizhniy Tagil,3,Android,ads
249,0,41,Finland,Jyväskylä,3,Android,ads
250,0,27,Russia,Moscow,1,iOS,ads
251,1,15,Russia,Moscow,3,iOS,ads
252,1,19,Russia,Moscow,4,iOS,ads
253,1,24,Russia,Moscow,3,Android,ads
254,1,42,Russia,Lesosibirsk,4,Android,ads
255,0,45,Russia,Saint Petersburg,1,iOS,ads
256,1,32,Russia,Shakhty,3,iOS,ads
257,1,14,Russia,Krasnodar,0,Android,ads
258,1,31,Azerbaijan,Baku,0,iOS,ads
259,0,21,Russia,Kashin,1,Android,ads
260,1,20,Russia,Moscow,3,Android,ads
261,1,21,Russia,Salavat,0,iOS,ads
262,1,24,Russia,Novosibirsk,1,Android,ads
263,1,19,Russia,Tsimlyansk,4,Android,ads
264,0,17,Russia,Yelizovo,0,iOS,ads
265,1,16,Russia,Rubtsovsk,4,Android,ads
266,0,34,Russia,Odintsovo,1,Android,ads
267,1,31,Russia,Pyatigorsk,3,iOS,ads
268,0,27,Russia,Moscow,1,iOS,ads
269,0,43,Russia,Moscow,0,iOS,ads
270,0,15,Russia,Yelabuga,1,Android,ads
271,0,36,Turkey,Gaziantep,2,Android,ads
272,0,22,Russia,Khabarovsk,3,Android,ads
273,0,22,Azerbaijan,Ağcabədi,2,iOS,ads
274,0,15,Russia,Moscow,1,Android,ads
275,0,15,Russia,Kislovodsk,3,Android,ads
276,1,32,Belarus,Asipovichy,1,iOS,ads
277,0,22,Russia,Khabarovsk,1,Android,ads
278,0,20,Azerbaijan,M.Ə. Rəsulzadə,3,iOS,ads
279,0,30,Russia,Vladimir,3,Android,ads
280,0,32,Russia,Birobidzhan,1,Android,ads
281,0,50,Russia,Beloyarskiy,3,iOS,ads
282,1,22,Russia,Tyumen,2,Android,ads
283,1,26,Russia,Podolsk,4,iOS,ads
284,0,46,Russia,Perm,3,Android,ads
285,0,24,Russia,Murom,2,iOS,ads
286,1,19,Russia,Moscow,4,iOS,ads
287,0,58,Russia,Omsk,1,Android,ads
288,0,28,Russia,Moscow,3,iOS,ads
289,0,45,Russia,Severodvinsk,0,Android,ads
290,0,27,Russia,Yuzhno-Sakhalinsk,3,Android,ads
291,1,20,Russia,Moscow,2,Android,ads
292,1,23,Russia,Taganrog,3,Android,ads
293,1,21,Russia,Novosibirsk,3,iOS,ads
294,1,15,Belarus,Mahilyow,0,iOS,ads
295,1,27,Russia,Severodvinsk,3,iOS,ads
296,1,23,Russia,Artëm,3,iOS,ads
297,1,27,Russia,Neftekamsk,2,Android,ads
298,1,43,Russia,Syktyvkar,2,Android,ads
299,0,32,Russia,Moscow,1,Android,ads
300,1,17,Russia,Arzamas,1,Android,ads
301,0,28,Russia,Makhachkala,2,Android,ads
302,1,20,Russia,Vladivostok,3,Android,ads
303,0,32,Russia,Lipetsk,3,Android,ads
304,0,32,Russia,Moscow,0,Android,ads
305,1,27,Russia,Stavropol,3,Android,ads
306,1,24,Russia,Saint Petersburg,0,Android,ads
307,1,20,Russia,Tobolsk,4,iOS,ads
308,1,30,Russia,Volgograd,4,iOS,ads
309,1,26,Russia,Novokuznetsk,1,Android,ads
310,0,22,Russia,Velikiy Novgorod,1,iOS,ads
311,1,15,Russia,Voronezh,4,Android,ads
312,0,24,Russia,Buguruslan,2,iOS,ads
313,0,62,Russia,Novouralsk,1,Android,ads
314,1,28,Russia,Zelënodol’sk,4,iOS,ads
315,1,44,Russia,Krasnoyarsk,1,iOS,ads
316,0,23,Ukraine,Horokhiv,3,Android,ads
317,0,16,Russia,Novosibirsk,0,Android,ads
318,1,48,Russia,Moscow,0,iOS,ads
319,0,41,Russia,Berdsk,4,Android,ads
320,1,21,Russia,Murmansk,2,Android,ads
321,0,20,Russia,Dzerzhinskiy,0,Android,ads
322,0,51,Russia,Tomsk,2,Android,ads
323,1,17,Russia,Moscow,4,Android,ads
324,0,35,Russia,Neman,1,Android,ads
325,1,39,Russia,Ufa,1,iOS,ads
326,1,16,Russia,Pushkino,0,Android,ads
327,1,20,Russia,Stavropol,1,iOS,ads
328,1,19,Russia,Yessentuki,2,iOS,ads
329,1,24,Ukraine,Novohrad-Volynskyi,4,iOS,ads
330,0,43,Russia,Tver,0,iOS,ads
331,0,20,Russia,Perm,3,Android,ads
332,0,26,Russia,Moscow,2,Android,ads
333,1,16,Russia,Makhachkala,0,Android,ads
